itemDescription,count
whole milk,2502
other vegetables,1898
rolls/buns,1716
soda,1514
yogurt,1334
root vegetables,1071
tropical fruit,1032
bottled water,933
sausage,924
citrus fruit,812
pastry,785
pip fruit,744
shopping bags,731
canned beer,717
bottled beer,687
whipped/sour cream,662
newspapers,596
frankfurter,580
brown bread,571
pork,566
domestic eggs,566
butter,534
fruit/vegetable juice,518
beef,516
curd,514
margarine,491
coffee,476
frozen vegetables,425
chicken,422
white bread,362
cream cheese ,358
chocolate,357
dessert,356
napkins,335
hamburger meat,327
berries,327
UHT-milk,323
onions,305
salty snack,283
waffles,280
long life bakery product,269
sugar,265
butter milk,263
ham,256
meat,254
frozen meals,252
beverages,251
specialty chocolate,240
misc. beverages,238
ice cream,227
oil,225
hard cheese,220
grapes,220
candy,219
sliced cheese,212
specialty bar,210
hygiene articles,208
chewing gum,181
cat food,177
white wine,176
herbs,159
red/blush wine,157
soft cheese,152
processed cheese,152
flour,146
semi-finished bread,142
dishes,135
pickled vegetables,134
detergent,130
packaged fruit/vegetables,128
baking powder,122
pasta,121
pot plants,118
canned fish,116
seasonal products,106
liquor,103
frozen fish,102
spread cheese,100
condensed milk,98
cake bar,93
mustard,92
frozen dessert,92
salt,89
pet care,85
canned vegetables,82
roll products ,82
turkey,80
photo/film,79
mayonnaise,75
cling film/bags,74
dish cleaner,73
frozen potato products,72
specialty cheese,72
flower (seeds),70
sweet spreads,69
liquor (appetizer),67
dog food,67
candles,66
finished products,64
instant coffee,61
chocolate marshmallow,60
Instant food products,60
zwieback,60
vinegar,51
liver loaf,50
rice,49
soups,48
popcorn,48
sparkling wine,46
curd cheese,46
house keeping products,45
sauces,44
cereals,42
softener,41
female sanitary products,40
spices,40
brandy,38
male cosmetics,37
meat spreads,35
jam,34
nuts/prunes,33
dental care,33
rum,32
ketchup,32
cleaner,31
kitchen towels,30
light bulbs,29
fish,29
artif. sweetener,29
specialty fat,29
snack products,27
tea,27
potato products,23
nut snack,22
abrasive cleaner,22
organic sausage,22
tidbits,22
canned fruit,21
syrup,21
skin care,20
soap,20
prosecco,19
pudding powder,17
cookware,17
bathroom cleaner,17
flower soil/fertilizer,16
cocoa drinks,16
cooking chocolate,15
ready soups,15
honey,13
cream,12
specialty vegetables,11
frozen fruits,11
organic products,10
liqueur,9
hair spray,9
decalcifier,9
whisky,8
salad dressing,6
make up remover,5
toilet cleaner,5
frozen chicken,5
rubbing alcohol,5
bags,4
baby cosmetics,3
kitchen utensil,1
preservation products,1
